District,Population,water_demand
ADILABAD,708972,95.71
BHADRADRI KOTHAGUDEM,1069261,144.35
HYDERABAD,3943323,532.35
JAGITIAL,985417,133.03
JANGOAN,566376,76.46
JOGULAMBA GADWAL,609990,82.35
KAMAREDDY,972625,131.3
KARIMNAGAR,1005711,135.77
KHAMMAM,1401639,189.22
KUMURAM BHEEM ASIFABAD,515812,69.63
MAHABUBABAD,774549,104.56
MAHABUBNAGAR,1486777,200.71
MANCHERIAL,807037,108.95
MEDAK,767428,103.6
MEDCHAL MALKAJGIRI,2440073,329.41
MULUGU,294671,39.78
NAGARKURNOOL,893308,120.6
NARAYANPET,41752,5.64
NALGONDA,1618416,218.49
NIRMAL,709418,95.77
NIZAMABAD,1571022,212.09
PEDDAPALLI,795332,107.37
RAJANNA SIRCILLA,552037,74.52
RANGA REDDY,2446265,330.25
SANGAREDDY,1527628,206.23
SIDDIPET,1012065,136.63
SURYAPET,1099560,148.44
VIKARABAD,927140,125.16
WANAPARTHY,577758,78
WARANGAL URBAN,718537,97
NALGONDA,1080858,145.92
JAYASHANKAR,416763,96.04
WARANGAL RURAL,689543,95.2
YADADRI BHUVANAGIRI,739448,99.83
