district,Month_Num,Rainfall_mm,Year,Temperature_C,Soil_Recharge_Factor,Groundwater_Level_mBGL,,,District
,January,0,2023,22,0.7,6.695,,,ADILABAD
ADILABAD,February,0,2023,24,0.7,7.996923077,,,ADILABAD
ADILABAD,March,49.4,2023,28,0.7,8.9236,,,ADILABAD
ADILABAD,April,60,2023,32,0.7,9.9288,,,ADILABAD
ADILABAD,May,54.3,2023,35,0.7,8.8608,,,ADILABAD
ADILABAD,June,76.2,2023,31,0.7,9.3824,,,ADILABAD
ADILABAD,July,324,2023,28,0.7,3.296923077,,,ADILABAD
ADILABAD,August,69.1,2023,27,0.7,2.884230769,,,ADILABAD
ADILABAD,September,78.1,2023,28,0.7,2.700384615,,,ADILABAD
ADILABAD,October,22.4,2023,27,0.7,3.550384615,,,ADILABAD
ADILABAD,November,41.9,2023,24,0.7,5.008846154,,,ADILABAD
ADILABAD,December,3.6,2023,22,0.7,5.933461538,,,ADILABAD
ADILABAD,January,2.7,2024,22.5,0.7,6.695,,,ADILABAD
ADILABAD,February,13.4,2024,24.5,0.7,7.996923077,,,ADILABAD
ADILABAD,March,34.7,2024,28.5,0.7,8.9236,,,ADILABAD
ADILABAD,April,28.5,2024,32.5,0.7,9.9288,,,ADILABAD
ADILABAD,May,25.8,2024,35.5,0.7,8.8608,,,ADILABAD
ADILABAD,June,137,2024,31.5,0.7,9.3824,,,ADILABAD
ADILABAD,July,103.7,2024,28.5,0.7,3.296923077,,,ADILABAD
ADILABAD,August,71.6,2024,27.5,0.7,2.884230769,,,ADILABAD
ADILABAD,September,167.5,2024,28.5,0.7,2.700384615,,,ADILABAD
ADILABAD,October,51.5,2024,27.5,0.7,3.550384615,,,ADILABAD
ADILABAD,November,27.3,2024,24.5,0.7,5.008846154,,,ADILABAD
ADILABAD,December,13.5,2024,22.5,0.7,5.933461538,,,ADILABAD
BHADRADRI KOTHAGUDEM,January,0,2023,23,0.6,7.607662338,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,February,0,2023,25,0.6,8.835974026,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,March,100.3,2023,29,0.6,9.460779221,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,April,58,2023,33,0.6,9.743376623,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,May,62.4,2023,36,0.6,9.460470588,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,June,55.5,2023,32,0.6,9.758974359,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,July,387.2,2023,29,0.6,7.676025641,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,August,120.4,2023,28,0.6,5.238928571,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,September,78.2,2023,29,0.6,4.692209302,,,BHADRADRI KOTHAGUDEM
BHADRADRI KOTHAGUDEM,October,45,2023,28,0.6,4.948372093,,,BHADRADRI KOTHAGUDEM
