district,mandal,village,lat,long,date,groundwater_level
ADILABAD,Adilabad Urban,Adilabad,78.52,19.67,1/5/2023,8.2
ADILABAD,Bazarhathnoor,Bazarhatnur,78.35,19.46,1/5/2023,7.21
ADILABAD,Bela,Chandpally,78.85,19.68,1/5/2023,7.9
ADILABAD,Bheempoor,Arli,78.38,19.83,1/5/2023,7.8
ADILABAD,Bheempoor,Bheempur,78.42,19.77,1/5/2023,7.06
ADILABAD,Boath,Boath,78.32,19.34,1/5/2023,
ADILABAD,Gudihathnur,Gudihatnoor,78.51,19.53,1/5/2023,18.02
ADILABAD,Jainad,Bhoraj,78.55,19.74,1/5/2023,14.85
ADILABAD,Jainad,Jainath,78.64,19.73,1/5/2023,2.65
ADILABAD,Narnoor,Narnoor,78.85,19.5,1/5/2023,3.85
ADILABAD,Neradigonda,Neradigonda,78.41,19.29,1/5/2023,9.9
ADILABAD,Talamadugu,Devapur,78.46,19.61,1/5/2023,8.65
ADILABAD,Talamadugu,Talamadugu,78.4,19.63,1/5/2023,5.99
ADILABAD,Tamsi,Tamsi,78.43,19.68,1/5/2023,5.1
ADILABAD,Utnur,Utnoor,78.77,19.38,1/5/2023,5.2
BHADRADRI KOTHAGUDEM,Allapalli,Allapalli,80.48,17.83,1/5/2023,9.34
BHADRADRI KOTHAGUDEM,Allapalli,Markodu,80.51,17.91,1/5/2023,5.47
BHADRADRI KOTHAGUDEM,Annapureddipalle,Annapureddypalli,80.83,17.35,1/5/2023,16.28
BHADRADRI KOTHAGUDEM,Aswapuram,Ammagaripalli,80.85,17.87,1/5/2023,4.77
BHADRADRI KOTHAGUDEM,Aswapuram,Aswapuram,80.81,17.84,1/5/2023,9.39
BHADRADRI KOTHAGUDEM,Aswapuram,Aswapuram,80.81,17.87,1/5/2023,9.76
BHADRADRI KOTHAGUDEM,Aswaraopeta,ASWARAOPET (D),81.11,17.24,1/5/2023,33.6
BHADRADRI KOTHAGUDEM,Aswaraopeta,Aswaraopet (S),81.11,17.24,1/5/2023,31.9
BHADRADRI KOTHAGUDEM,Aswaraopeta,Duradapadu,81.09,17.43,1/5/2023,7.52
BHADRADRI KOTHAGUDEM,Aswaraopeta,Gummadivalli,81.18,17.42,1/5/2023,3.95
BHADRADRI KOTHAGUDEM,Aswaraopeta,NANDIPADU,81.13,17.46,1/5/2023,3.62
BHADRADRI KOTHAGUDEM,Aswaraopeta,Vinayakapuram,81.12,17.35,1/5/2023,15.87
BHADRADRI KOTHAGUDEM,Bhadrachalam,Bhadrachalam,80.9,17.67,1/5/2023,11.69
BHADRADRI KOTHAGUDEM,Burgampadu,Krishnasagar,80.81,17.71,1/5/2023,10.41
BHADRADRI KOTHAGUDEM,Burgampadu,M.Banjara,80.79,17.64,1/5/2023,12.27
BHADRADRI KOTHAGUDEM,Cherla,Cherla,80.83,18.07,1/5/2023,5.58
BHADRADRI KOTHAGUDEM,Chandrugonda,Maddukuru,80.68,17.36,1/5/2023,22.1
BHADRADRI KOTHAGUDEM,Chandrugonda,Ravikampadu,80.61,17.4,1/5/2023,11.03
BHADRADRI KOTHAGUDEM,Cherla,Chinmedisileru,80.85,18.06,1/5/2023,5.45
BHADRADRI KOTHAGUDEM,Cherla,Chunchupalli,80.61,17.53,1/5/2023,
BHADRADRI KOTHAGUDEM,Dammapeta,Malkaram,81.07,17.31,1/5/2023,14.63
BHADRADRI KOTHAGUDEM,Dammapeta,Mandalapalli,81.01,17.24,1/5/2023,42.06
BHADRADRI KOTHAGUDEM,Dammapeta,Patwarigudem,80.96,17.35,1/5/2023,14.03
BHADRADRI KOTHAGUDEM,Dummugudem,Bandirevu,80.92,17.92,1/5/2023,6.96
BHADRADRI KOTHAGUDEM,Dummugudem,Dummugudem,80.89,17.85,1/5/2023,3.02
BHADRADRI KOTHAGUDEM,Gundala,Gundala,80.33,17.91,1/5/2023,2.27
BHADRADRI KOTHAGUDEM,Gundala,Kanchanapalli,80.42,17.79,1/5/2023,7.46
BHADRADRI KOTHAGUDEM,Gundala,Mamakannu,80.41,17.87,1/5/2023,6.97
BHADRADRI KOTHAGUDEM,Gundala,Sainapalli,80.35,17.96,1/5/2023,4.29
BHADRADRI KOTHAGUDEM,Gundala,Settupalli,80.35,17.81,1/5/2023,3.12
BHADRADRI KOTHAGUDEM,Julurpad,P. Narsapuram,80.52,17.44,1/5/2023,11.91
BHADRADRI KOTHAGUDEM,Julurpad,Papakollu,80.48,17.42,1/5/2023,6.91
BHADRADRI KOTHAGUDEM,Karakagudem,karakagudem,80.51,18.09,1/5/2023,3.04
BHADRADRI KOTHAGUDEM,Karakagudem,Karakagudem,80.57,18.03,1/5/2023,6.9
BHADRADRI KOTHAGUDEM,Kothagudem,Kothagudem,80.62,17.55,1/5/2023,27.13
BHADRADRI KOTHAGUDEM,Laxmidevipalli,Bangaruchelka,80.6,17.76,1/5/2023,8.62
BHADRADRI KOTHAGUDEM,Laxmidevipalli,Laxmidevipalli,80.62,17.57,1/5/2023,7.84
BHADRADRI KOTHAGUDEM,Manuguru,Manuguru,80.83,17.96,1/5/2023,6.67
BHADRADRI KOTHAGUDEM,Manuguru,Pagideru,80.73,17.97,1/5/2023,2.83
BHADRADRI KOTHAGUDEM,Mulakalapalle,Mulakalapalli (D),80.83,17.5,1/5/2023,10.05
BHADRADRI KOTHAGUDEM,Mulakalapalle,MULAKALAPALLI (S),80.85,17.48,1/5/2023,9.32
BHADRADRI KOTHAGUDEM,Mulakalapalle,N. Jaganadhapuram,80.86,17.43,1/5/2023,8.75
BHADRADRI KOTHAGUDEM,Mulakalapalle,Pusugudem            (Pakeer thanda),80.76,17.54,1/5/2023,3.34
BHADRADRI KOTHAGUDEM,Mulakalapalle,Thimmampet,80.93,17.54,1/5/2023,7.47
BHADRADRI KOTHAGUDEM,Palawancha,Danthalaboru,80.84,17.59,1/5/2023,8.28
BHADRADRI KOTHAGUDEM,Palawancha,Pathapalwancha,80.69,17.55,1/5/2023,9.72
BHADRADRI KOTHAGUDEM,Palawancha,REGELLA,80.58,17.95,1/5/2023,3.31
BHADRADRI KOTHAGUDEM,Palawancha,Ulavanoor,80.68,17.78,1/5/2023,5.35
BHADRADRI KOTHAGUDEM,Palawancha,Yanmbailu,80.68,17.69,1/5/2023,5.81
BHADRADRI KOTHAGUDEM,Pinapaka,Dugenepalli,80.65,18.13,1/5/2023,3.68
BHADRADRI KOTHAGUDEM,Pinapaka,Potlapalli ,80.68,18.04,1/5/2023,6.1
BHADRADRI KOTHAGUDEM,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,1/5/2023,10.07
BHADRADRI KOTHAGUDEM,Sujathanagar,Sujathanagar,80.59,17.49,1/5/2023,3.27
BHADRADRI KOTHAGUDEM,Tekulapalle,Bethampudi,80.45,17.56,1/5/2023,12.98
BHADRADRI KOTHAGUDEM,Tekulapalle,Bodu,80.44,17.67,1/5/2023,5.47
BHADRADRI KOTHAGUDEM,Tekulapalle,Mutyalampadu,80.5,17.54,1/5/2023,5.28
BHADRADRI KOTHAGUDEM,Tekulapalle,Sulanagar,80.5,17.54,1/5/2023,12.9
BHADRADRI KOTHAGUDEM,Yellandu,Komararam,80.32,17.71,1/5/2023,8.12
BHADRADRI KOTHAGUDEM,Yellandu,Narayanapuram D,80.38,17.51,1/5/2023,7.53
BHADRADRI KOTHAGUDEM,Yellandu,NARAYANAPURAM S,80.38,17.51,1/5/2023,7.53
BHADRADRI KOTHAGUDEM,Yellandu,Rompedu,80.3,17.65,1/5/2023,6.33
BHADRADRI KOTHAGUDEM,Yellandu,Sudimalla,80.35,17.59,1/5/2023,5.98
JAYASHANKAR,Bhupalpalle,Bhupalpally,79.88,18.44,1/5/2023,5.93
JAYASHANKAR,Bhupalpalle,Gudadpally,79.81,18.39,1/5/2023,7.12
JAYASHANKAR,Bhupalpalle,Nandigama,80.06,18.5,1/5/2023,2.38
JAYASHANKAR,Chityal,Chityala,79.67,18.34,1/5/2023,5.34
JAYASHANKAR,Chityal,Jadalpet,79.74,18.38,1/5/2023,13.41
JAYASHANKAR,Ghanapur_Mulug,Chelpur(D),79.85,18.37,1/5/2023,8.23
JAYASHANKAR,Ghanapur_Mulug,Chelpur(S),79.84,18.38,1/5/2023,7.01
JAYASHANKAR,Ghanapur_Mulug,Velthurlapally,79.89,18.3,1/5/2023,5.39
JAYASHANKAR,Kataram,Jadaraopet,79.88,18.7,1/5/2023,17.43
JAYASHANKAR,Kataram,Medipally,79.92,18.55,1/5/2023,21.08
JAYASHANKAR,Kataram,Regulagudem,79.87,18.62,1/5/2023,38.09
JAYASHANKAR,Kataram,Shankarampally 125(D),79.9,18.6,1/5/2023,18.23
JAYASHANKAR,Kataram,Shankarampally 47,79.89,18.61,1/5/2023,19.06
JAYASHANKAR,Mutharam_Mahadevpur,Stambampally,79.99,18.56,1/5/2023,2.49
JAYASHANKAR,Mutharam_Mahadevpur,Yatnaram,80.15,18.57,1/5/2023,4.93
JAYASHANKAR,Mahadevpur,Ambatipalli,80.06,18.7,1/5/2023,22.18
JAYASHANKAR,Mahadevpur,Annaram,79.84,18.76,1/5/2023,22.34
JAYASHANKAR,Mahadevpur,Kaleswaram,79.91,18.8,1/5/2023,9.08
JAYASHANKAR,Mahadevpur,Mahadevpur -125D,79.98,18.73,1/5/2023,12.74
JAYASHANKAR,Mahadevpur,Mahadevpur 199D,79.98,18.73,1/5/2023,11.89
JAYASHANKAR,Mahadevpur,Mahadevpur 75NC,79.98,18.72,1/5/2023,11.06
JAYASHANKAR,Malharrao,Mallaram,79.79,18.56,1/5/2023,5.14
JAYASHANKAR,Mogullapalle,Aknepally,79.61,18.36,1/5/2023,7.59
JAYASHANKAR,Mogullapalle,Rangapur,79.69,18.27,1/5/2023,7.28
JAYASHANKAR,Palmela,Kamanpally,80.25,18.63,1/5/2023,3.68
JAYASHANKAR,Palmela,Lenkalagadda,80.13,18.67,1/5/2023,14.28
JAYASHANKAR,Palmela,Sarvaipet,80.24,18.68,1/5/2023,15.23
JAYASHANKAR,Regonda,Gorikothapally,79.81,18.18,1/5/2023,7.29
JAYASHANKAR,Regonda,Regonda,79.78,18.24,1/5/2023,8.24
JAYASHANKAR,Tekumatla,Ramakrishnapuram,79.63,18.42,1/5/2023,6.19
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45,17.45,1/5/2023,
HYDERABAD,Ammerpet,S.R.Nagar,78.44,17.44,1/5/2023,21.13
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.43,17.45,1/5/2023,17.99
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.45,17.38,1/5/2023,6.65
HYDERABAD,Asifnagar,Himayanagar,78.45,17.4,1/5/2023,3.05
HYDERABAD,Asifnagar,Kulsanapur,78.44,17.37,1/5/2023,9.55
HYDERABAD,Bandlaguda,Chandraingutta,78.48,17.33,1/5/2023,15.73
HYDERABAD,Bandlaguda,Bahadurpura,78.46,17.35,1/5/2023,2.41
HYDERABAD,Charminar,Darul Shifa,78.49,17.38,1/5/2023,7.76
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.48,17.41,1/5/2023,6.46
HYDERABAD,Himayatnagar,Indira Park,78.5,17.4,1/5/2023,3.25
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,1/5/2023,7.44
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,1/5/2023,7.61
HYDERABAD,Khairatabad,Khairathabad,78.46,17.41,1/5/2023,
HYDERABAD,Khairatabad,T.S..Secretariat,78.47,17.41,1/5/2023,
HYDERABAD,Maredpally,"Govt.Jr.College,West Maredpally",78.51,17.43,1/5/2023,6.39
HYDERABAD,Maredpally,Maredpally(s),78.51,17.44,1/5/2023,14.56
HYDERABAD,Musheerabad,Musheerabad,78.51,17.42,1/5/2023,7.35
HYDERABAD,Nampally,Nampally,78.47,17.39,1/5/2023,4.08
HYDERABAD,Saidabad,Juvinile home,78.51,17.36,1/5/2023,4.48
HYDERABAD,Secunderabad,"Sanjeevaiah Park, Hussian Sagar.",78.48,17.44,1/5/2023,
HYDERABAD,Shaikpet,Shaikpet,78.45,17.42,1/5/2023,
HYDERABAD,Shaikpet,"Vengal Rao Park, Srinagar colony",78.42,17.41,1/5/2023,4.3
HYDERABAD,Tirumalgiri,"NIMH,Hasmathpet",78.49,17.46,1/5/2023,12.01
JAGITIAL,Beerpur,Kandlapalle,78.96,19.03,1/5/2023,2.47
JAGITIAL,Dharmapuri,Dharmapuri,79.1,18.95,1/5/2023,7.58
JAGITIAL,Dharmapuri,Jaina,79.08,19.01,1/5/2023,7.99
JAGITIAL,Gollapalle,Gollapalli,79.05,18.79,1/5/2023,5.02
JAGITIAL,Ibrahimpatnam,Ibrahimpatnam,78.58,18.9,1/5/2023,4.15
JAGITIAL,Jagtial,Jagityal,78.85,18.83,1/5/2023,8.09
