District,Population
ADILABAD,708972
BHADRADRI KOTHAGUDEM,1069261
HYDERABAD,3943323
JAGITIAL,985417
JANGOAN,566376
JOGULAMBA GADWAL,609990
KAMAREDDY,972625
KARIMNAGAR,1005711
KHAMMAM,1401639
KUMURAM BHEEM ASIFABAD,515812
MAHABUBABAD,774549
MAHABUBNAGAR,1486777
MANCHERIAL,807037
MEDAK,767428
MEDCHAL MALKAJGIRI,2440073
MULUGU,294671
NAGARKURNOOL,893308
NARAYANPET,41752
NALGONDA,1618416
NIRMAL,709418
NIZAMABAD,1571022
PEDDAPALLI,795332
RAJANNA SIRCILLA,552037
RANGA REDDY,2446265
SANGAREDDY,1527628
SIDDIPET,1012065
SURYAPET,1099560
VIKARABAD,927140
WANAPARTHY,577758
WARANGAL URBAN,718537
NALGONDA,1080858
JAYASHANKAR,416763
WARANGAL RURAL,689543
YADADRI BHUVANAGIRI,739448
