district,month,groundwater_level
Srikakulam,Mar,9.7
Vizianagaram,Mar,6.71
Parvathipuram Manyam,Mar,7.81
Alluri Sitharama Raju,Mar,8.37
Visakhapatnam,Mar,9.06
Anakapalli,Mar,7.08
Kakinada,Mar,8.82
Konaseema,Mar,3.58
East Godavari,Mar,24.6
West Godavari,Mar,8.94
Eluru,Mar,22.74
Krishna,Mar,9.87
NTR,Mar,7.75
Guntur,Mar,6.23
Bapatla,Mar,4.24
Palnadu,Mar,18.06
Prakasam,Mar,19.59
Sri Potti Sriramulu Nellore,Mar,6.07
Kurnool,Mar,10.08
Nandyal,Mar,10.5
Ananthapuramu,Mar,13.53
Sri Sathya Sai,Mar,14.88
Y.S.R Kadapa,Mar,13.88
Annamayya,Mar,12.4
Chittoor,Mar,11.79
Tirupati,Mar,5.6
Srikakulam,May,10.02
Vizianagaram,May,6.64
Parvathipuram Manyam,May,8.13
Alluri Sitharama Raju,May,9.06
Visakhapatnam,May,10.82
Anakapalli,May,8
Kakinada,May,9.8
Konaseema,May,3.8
East Godavari,May,24.77
West Godavari,May,9
Eluru,May,23.67
Krishna,May,10.21
NTR,May,8.42
Guntur,May,6.72
Bapatla,May,4.46
Palnadu,May,14.88
Prakasam,May,21.59
Sri Potti Sriramulu Nellore,May,7.07
Kurnool,May,10.35
Nandyal,May,10.83
Ananthapuramu,May,15.22
Sri Sathya Sai,May,20.44
Y.S.R Kadapa,May,13.83
Annamayya,May,18.13
Chittoor,May,13.83
Tirupati,May,6.78
Srikakulam,Nov,6.95
Vizianagaram,Nov,4.24
Parvathipuram Manyam,Nov,6.61
Alluri Sitharama Raju,Nov,6.26
Visakhapatnam,Nov,5.63
Anakapalli,Nov,4.16
Kakinada,Nov,5.69
Konaseema,Nov,2.64
East Godavari,Nov,21.66
West Godavari,Nov,7.37
Eluru,Nov,17.59
Krishna,Nov,7.95
NTR,Nov,3.83
Guntur,Nov,3.39
Bapatla,Nov,2.63
Palnadu,Nov,6.91
Prakasam,Nov,13.07
Sri Potti Sriramulu Nellore,Nov,5.76
Kurnool,Nov,6.78
Nandyal,Nov,5.21
Ananthapuramu,Nov,8.27
Sri Sathya Sai,Nov,7.76
Y.S.R Kadapa,Nov,7.98
Annamayya,Nov,13.62
Chittoor,Nov,11.18
Tirupati,Nov,4.38
Srikakulam,Feb,8.9
Vizianagaram,Feb,5.89
Parvathipuram Manyam,Feb,8.21
Alluri Sitharama Raju,Feb,8.54
Visakhapatnam,Feb,7.35
Anakapalli,Feb,6.24
Kakinada,Feb,7.62
Konaseema,Feb,3.6
East Godavari,Feb,25.41
West Godavari,Feb,8.99
Eluru,Feb,18.15
Krishna,Feb,9.87
NTR,Feb,6.39
Guntur,Feb,5.87
Bapatla,Feb,3.8
Palnadu,Feb,9.12
Prakasam,Feb,15.31
Sri Potti Sriramulu Nellore,Feb,5.78
Kurnool,Feb,8.6
Nandyal,Feb,8.14
Ananthapuramu,Feb,11.36
Sri Sathya Sai,Feb,11.88
Y.S.R Kadapa,Feb,10.62
Annamayya,Feb,14.89
Chittoor,Feb,12.46
Tirupati,Feb,4.41
Srikakulam,Apr,8.35
Vizianagaram,Apr,5.95
Parvathipuram Manyam,Apr,7.3
Alluri Sitharama Raju,Apr,8.61
Visakhapatnam,Apr,8.37
Anakapalli,Apr,6.31
Kakinada,Apr,7.92
Konaseema,Apr,3.67
East Godavari,Apr,19.9
West Godavari,Apr,8.37
Eluru,Apr,20.78
Krishna,Apr,9.41
NTR,Apr,7.1
Guntur,Apr,5.41
Bapatla,Apr,3.59
Palnadu,Apr,11.19
Prakasam,Apr,16.85
Sri Potti Sriramulu Nellore,Apr,5.2
Kurnool,Apr,6.91
Nandyal,Apr,7.46
Ananthapuramu,Apr,7.84
Sri Sathya Sai,Apr,8.35
Y.S.R Kadapa,Apr,8.8
Annamayya,Apr,8.93
Chittoor,Apr,9.6
Tirupati,Apr,4.67
Srikakulam,Jan,7.38
Vizianagaram,Jan,3.65
Parvathipuram Manyam,Jan,6.92
Alluri Sitharama Raju,Jan,6.96
Visakhapatnam,Jan,6.48
Anakapalli,Jan,4.83
Kakinada,Jan,6.88
Konaseema,Jan,3.12
East Godavari,Jan,23.93
West Godavari,Jan,8.29
Eluru,Jan,17.55
Krishna,Jan,8.99
NTR,Jan,5.15
Guntur,Jan,4.32
Bapatla,Jan,3.44
Palnadu,Jan,8.34
Prakasam,Jan,12.63
Sri Potti Sriramulu Nellore,Jan,5.54
Kurnool,Jan,7.86
Nandyal,Jan,5.88
Ananthapuramu,Jan,9.41
Sri Sathya Sai,Jan,8.81
Y.S.R Kadapa,Jan,7.82
Annamayya,Jan,9.42
Chittoor,Jan,9.6
Tirupati,Jan,3.12
Srikakulam,Jun,9.75
Vizianagaram,Jun,5.92
Parvathipuram Manyam,Jun,8.67
Alluri Sitharama Raju,Jun,8.82
Visakhapatnam,Jun,10.52
Anakapalli,Jun,7.36
Kakinada,Jun,8.7
Konaseema,Jun,3.82
East Godavari,Jun,25.29
West Godavari,Jun,9.2
Eluru,Jun,23.1
Krishna,Jun,10.35
NTR,Jun,7.8
Guntur,Jun,6.83
Bapatla,Jun,4.62
Palnadu,Jun,15.01
Prakasam,Jun,21.49
Sri Potti Sriramulu Nellore,Jun,7.46
Kurnool,Jun,8.88
Nandyal,Jun,8.25
Ananthapuramu,Jun,12.73
Sri Sathya Sai,Jun,10.5
Y.S.R Kadapa,Jun,13.12
Annamayya,Jun,16.41
Chittoor,Jun,12.76
Tirupati,Jun,7.03
Srikakulam,Jul,7.96
Vizianagaram,Jul,4.26
Parvathipuram Manyam,Jul,7
Alluri Sitharama Raju,Jul,7.82
Visakhapatnam,Jul,8.38
Anakapalli,Jul,5.39
Kakinada,Jul,7.15
Konaseema,Jul,3.24
East Godavari,Jul,21.84
West Godavari,Jul,8.09
Eluru,Jul,20.26
Krishna,Jul,9.77
NTR,Jul,5.91
Guntur,Jul,5.31
Bapatla,Jul,4.09
